28/07/2008, Logroño. Desterrado, avisando y procesado….y pudo matar a su exmujer de 48 años.
05/08/2008, Girona (Figueres) Mata a su expareja de 20 años.
05/08/2008, Barcelona. Hombre de 26 años mata a su pareja actual, de 50 años. .
06/08/2008, Asturias (Gijón). Aparece estrangulada la mujer desaparecida 7 dias antes. .
07/08/2008, Salamanca (Villamayor de la Armuña). Joven de 19 años mata a su novia e 18. .
16/08/2008,Álava (Baños de Ebro). Mujer degollada presuntamente por su marido. .
18/08/2008,Tenerife (San Miguel de Abona). 26 años, apuñalada. Disponía de protección policial .
18/08/2008,Pontevedra (Vigo). Asesinada a ladrillados delante de los hijos. .
19/08/2008,Valencia (Ontinyent). Asesina a su pareja y se suicida posteriormente. .
31/08/2008,Madrid. Mujer de 53 años asesinada presuntamente por su marido. .
14/09/2008,Mallorca (Marratxi). Mujer de 28 años asesinada a golpes por su pareja. .
16/09/2008,Barcelona (L`hospitalet de Llobregat). Mata a su ex-mujer y hiere gravemente a su hijo. .
22/09/2008,Valladolid (Pedrajas de San Esteban). Mujer de 42 años apuñalada por su marido. .
23/09/2008,Madrid (Villanueva de la Cañada). Mujer de 66 años degollada por su marido. .
27/09/2008,Valencia. Mujer de 35 años apuñalada por su ex-marido. .
28/09/2008,Málaga (Nerja). Mujer de 25 asesinada por su ex-pareja, con 15 puñaladas .
29/09/2008,Valladolid. Mujer, 22 años, enterrada dentro de una maleta .
1/10/2008,Granada. Mujer de 35 años asesinada. Su pareja, presunto asesino, se suicida. .
1/10/2008,Murcia (Alcantarilla). Mata a su pareja y hiere gravemente a una amiga que le acompañaba. .
5/10/2008,Bizkaia (Santurtzi). Mata a su pareja de 26 años, encontrada maniatada en su piso. .
14/10/2008,Granada (Motril). Asesinada con una sierra circular por ex-guardia civil. .
16/10/2008, Madrid. Mujer de 27 años aparece muerta en su domicilio, en busca su pareja.
21/10/2008,Cádiz (Jerez de la Frontera). 36 años, degollada por su pareja en un posible ataque de celos. .
2/11/2008,Murcia (Abarán). Un hombre de 75 años mata a su expareja de 41 años y otra compañera que la defendió.
5/11/2008,Madrid (Alcorcón). Otro anciano de 74 años, ya denunciado, asesina a su mujer, de 72.
10/11/2008,A Coruña (Cambre). Mata a su ex-mujer tras una discusión por la custodia de la hija.
30/11/2008,Pontevedra (Ponte Caldelas). Mata a su actual pareja en permiso carcelario, condenado por maltrato.
30/11/2008,Valencia. Mujer de 25 años apuñalada por su marido.
05/12/2008,Valencia (Gandía). Mujer asesinada y quemada presuntamente por su expareja.
10/12/2008, Gran Canaria (Telde). Mujer de 80 años asesinada por su marido de 87 años.
11/12/2008, Tenerife (Arico). Asesina y arroja desnuda a un estanque a su mujer, de 70 años.
11/12/2008, Guadalajara (Sigüenza). 27 años, asesinada presumanete por su pareja que está en búsqueda y captura.
16/12/2008,Barcelona (Vilafranca del Penedés). Mujer asesinada por su exmarido del que tenía orden de alejamiento.
18/12/2008, Lleida (Torá). Hombre tirotea de muerte a su mujer tras una discusión.
20/12/2008, Pontevedra (Portas). Hombre estrangula a su mujer delante de sus cinco hijos.
24/12/2008, Tenerife (Adeje). Asesinada con un bate de beisbol por su novio.
24/12/2008, A Coruña (Fene). El marido, de 74 años, la asesinó a martillazos.
24/12/2008, Gran Canaria (San Bartolomé de Tirajana ). Estrangula a su pareja de 29 años y luego se ahorca.
27/12/2008, Murcia (Cartagena). Arrestado un médico sospechoso de lanzar a su mujer desde un cuarto piso.
28/12/2008, Gran Canaria (Las Palmas). Asesina a su pareja en la habitación del hotel donde se hospedaban.
29/12/2008, Gipuzkoa (Errenteria). Asesina a su compañera y hiere a su hermano y a un hijo de ésta.
29/12/2008, Barcelona (Cornellá de Llobregat). Tercera asesinada en un solo día.
