cy,fill,radius,cx
255.79,#ffe62d,6.14,394.5800
241.01,#ffe62d,6.14,397.1799
234.38,#ff84e2,6.14,402.75
212.22,#ff84e2,6.14,406.6599
161.45,#ff84e2,6.14,356.25
153.18,#1481e3,6.14,309.34
149.28,#1481e3,6.14,244.07
155.87,#ffe62d,6.14,346.24
148.80,#ffe62d,6.14,327.7000
131.64,#1481e3,6.14,273.57
114.74,#ffe62d,6.14,307.33
103.29,#ff84e2,6.14,307.15
92.58,#ffe62d,6.14,311.23
92.27,#ffe62d,6.14,331.0700
87.76,#ffe62d,6.14,305.49
282.06,#ffe62d,6.08,284.42
291.39,#ffe62d,6.08,315.75
260.65,#ff84e2,6.08,292.59
294.84,#1481e3,6.08,356.9099
280.82,#ffe62d,6.08,363.78
266.05,#ffe62d,6.08,366.39
351.10,#ffe62d,6.08,265.65
309.30,#1481e3,6.08,374.15
274.09,#ff84e2,6.08,217.6700
358.48,#ffe62d,6.08,264.35
314.12,#1481e3,6.08,379.89
290.15,#ffe62d,6.08,395.11
345.48,#ff84e2,6.08,363.37
233.63,#ffe62d,6.08,398.48
231.06,#ffe62d,6.08,405.53
154.86,#ffe62d,6.08,254.0799
151.36,#ffe62d,6.08,320.65
150.34,#ffe62d,6.08,228.5
135.57,#ffe62d,6.08,231.1000
123.94,#1481e3,6.08,294.71
122.88,#ff84e2,6.08,310.29
115.49,#ff84e2,6.08,311.59
109.17,#1481e3,6.08,297.32
99.66,#ffe62d,6.08,329.77
97.40,#ffe62d,6.08,316.98
82.94,#ffe62d,6.08,299.74
504.08,#ff84e2,6.08,269.45
511.47,#ff84e2,6.08,268.15
265.47,#ff84e2,6.02,298.34
276.62,#ffe62d,6.02,318.35
286.26,#ffe62d,6.02,329.85
294.09,#ff84e2,6.02,352.65
275.25,#1481e3,6.02,353.77
345.97,#ffe62d,6.02,279.75
278.25,#ffe62d,6.02,370.8300
296.79,#1481e3,6.02,389.5499
304.17,#1481e3,6.02,388.24
286.08,#ff84e2,6.02,393.63
319.70,#ffe62d,6.02,389.9
165.52,#ffe62d,6.02,357.73
159.19,#ff84e2,6.02,343.4600
155.17,#ffe62d,6.02,234.24
137.34,#ff84e2,6.02,327.52
131.33,#1481e3,6.02,293.41
111.73,#1481e3,6.02,290.27
116.69,#ffe62d,6.02,339.9600
101.03,#ff84e2,6.02,294.35
93.65,#ff84e2,6.02,295.66
90.02,#ffe62d,6.02,318.28
80.38,#ffe62d,6.02,306.79
129.73,#ffe62d,6.02,133.2
513.28,#ffe62d,6.02,256.84
252.95,#ff84e2,5.96,313.73
295.32,#ff84e2,5.96,273.29
314.43,#1481e3,5.96,360.0499
350.34,#1481e3,5.96,261.39
271.62,#ff84e2,5.96,376.4
263.48,#ffe62d,5.96,373.4299
246.14,#ffe62d,5.96,383.0900
313.06,#ff84e2,5.96,395.47
351.05,#1481e3,5.96,373.38
260.61,#ffe62d,5.96,400.3200
266.58,#ffe62d,5.96,175.0299
240.70,#ffe62d,5.96,417.02
410.18,#ffe62d,5.96,255.2300
123.06,#ffe62d,5.96,246.5
500.76,#ffe62d,5.96,272.24
251.58,#ffe62d,5.90,349.15
244.20,#ffe62d,5.90,350.4500
253.09,#1481e3,5.90,357.6799
266.80,#ff84e2,5.90,370.65
251.27,#ffe62d,5.90,368.99
340.66,#ff84e2,5.90,357.63
342.16,#ffe62d,5.90,366.1599
337.03,#ffe62d,5.90,380.25
357.69,#ff84e2,5.90,367.8200
205.90,#1481e3,5.90,392.38
157.86,#ff84e2,5.90,271.14
248.09,#ffe62d,5.90,415.72
157.42,#ffe62d,5.90,247.0400
397.98,#ffe62d,5.90,250.7900
402.49,#ffe62d,5.90,276.37
159.99,#ffe62d,5.90,239.99
152.42,#ff84e2,5.90,305.08
155.92,#ff84e2,5.90,238.51
148.36,#1481e3,5.90,303.6
388.95,#ffe62d,5.90,199.62
163.61,#ff84e2,5.90,217.36
134.03,#ffe62d,5.90,330.3099
113.99,#1481e3,5.90,303.06
88.82,#ff84e2,5.90,289.91
486.61,#ffe62d,5.90,235.1600
141.94,#ffe62d,5.90,137.64
501.52,#ff84e2,5.90,276.5
503.33,#ffe62d,5.90,265.19
508.46,#ffe62d,5.90,251.0899
290.33,#1481e3,5.84,331.3300
311.87,#1481e3,5.84,367.1
261.14,#ffe62d,5.84,208.9599
278.70,#ff84e2,5.84,394.9299
287.59,#ffe62d,5.84,402.1599
267.33,#ff84e2,5.84,179.2900
208.15,#1481e3,5.84,405.1699
163.26,#ffe62d,5.84,344.9400
403.55,#ff84e2,5.84,260.8
152.11,#ff84e2,5.84,324.9199
145.79,#1481e3,5.84,310.64
144.46,#1481e3,5.84,238.3299
167.68,#ffe62d,5.84,218.8500
133.58,#1481e3,5.84,306.2
98.47,#ff84e2,5.84,301.4
82.06,#ff84e2,5.84,251.5299
85.20,#ffe62d,5.84,312.53
486.30,#ffe62d,5.84,255
135.31,#ff84e2,5.84,143.2099
498.20,#ffe62d,5.84,279.28
505.89,#ffe62d,5.84,258.14
258.84,#1481e3,5.78,303.9
296.96,#ff84e2,5.78,325.76
272.68,#1481e3,5.78,360.8200
236.81,#ffe62d,5.78,351.75
304.48,#1481e3,5.78,368.4
282.32,#1481e3,5.78,372.3099
347.03,#ff84e2,5.78,264.17
249.46,#ff84e2,5.78,380.2999
254.28,#ff84e2,5.78,386.0499
276.13,#ff84e2,5.78,401.98
391.65,#ff84e2,5.78,236.51
244.02,#ff84e2,5.78,414.24
152.29,#ffe62d,5.78,261.13
236.64,#ff84e2,5.78,415.5399
158.75,#ffe62d,5.78,319.35
153.49,#1481e3,5.78,289.5
213.73,#ffe62d,5.78,415.1799
206.34,#ffe62d,5.78,416.49
114.30,#1481e3,5.78,283.22
120.01,#ff84e2,5.78,337.1799
110.67,#ff84e2,5.78,305.84
108.11,#ff84e2,5.78,312.89
473.78,#ffe62d,5.78,270.4
77.81,#ffe62d,5.78,313.8400
484.05,#ffe62d,5.78,242.2099
487.36,#ff84e2,5.78,239.4200
488.87,#ffe62d,5.78,247.95
491.43,#ffe62d,5.78,240.8999
498.51,#ffe62d,5.78,259.44
501.07,#ffe62d,5.78,252.3999
506.65,#ff84e2,5.78,262.41
509.21,#ff84e2,5.78,255.36
511.02,#ffe62d,5.78,244.05
293.95,#ffe62d,5.72,308.7
278.16,#ffe62d,5.72,219.1499
276.66,#ff84e2,5.72,210.62
311.56,#1481e3,5.72,386.9400
298.29,#ff84e2,5.72,398.0700
342.91,#ff84e2,5.72,370.4199
238.98,#ffe62d,5.72,212.87
245.83,#ffe62d,5.72,402.9299
250.66,#ffe62d,5.72,408.6699
390.59,#ffe62d,5.72,252.0899
235.13,#1481e3,5.72,407.01
156.80,#ffe62d,5.72,286.72
153.80,#1481e3,5.72,269.66
412.75,#ffe62d,5.72,248.18
144.73,#ff84e2,5.72,326.22
153.66,#ff84e2,5.72,225.7099
105.54,#ff84e2,5.72,319.9400
87.45,#ffe62d,5.72,325.3300
85.95,#ff84e2,5.72,316.7999
82.63,#ffe62d,5.72,319.5800
80.07,#ffe62d,5.72,326.63
491.12,#ffe62d,5.72,260.75
493.38,#ffe62d,5.72,273.54
489.18,#ffe62d,5.72,228.11
495.94,#ffe62d,5.72,266.49
395.32,#ffe62d,5.72,106.1600
294.40,#ff84e2,5.66,332.8099
285.95,#ffe62d,5.66,349.6900
273.43,#ffe62d,5.66,365.0800
274.18,#ff84e2,5.66,369.35
262.73,#1481e3,5.66,369.1699
254.59,#ff84e2,5.66,366.2100
270.78,#ffe62d,5.66,220.45
319.25,#1481e3,5.66,365.7999
247.21,#ff84e2,5.66,367.51
326.64,#1481e3,5.66,364.5
282.01,#1481e3,5.66,392.15
257.60,#1481e3,5.66,383.26
241.32,#ffe62d,5.66,377.3400
325.58,#ff84e2,5.66,380.0700
353.62,#1481e3,5.66,366.3300
398.73,#ff84e2,5.66,255.05
403.24,#ff84e2,5.66,280.64
406.12,#ff84e2,5.66,253.75
123.81,#ff84e2,5.66,250.7699
117.93,#ffe62d,5.66,260.6
109.61,#ffe62d,5.66,321.4199
105.85,#ff84e2,5.66,300.1
481.48,#ffe62d,5.66,249.25
483.74,#ffe62d,5.66,262.05
485.99,#ffe62d,5.66,274.84
179.49,#ffe62d,5.66,91.4499
515.85,#ffe62d,5.66,249.7900
516.60,#ff84e2,5.66,254.06
272.86,#ff84e2,5.60,297.03
283.56,#1481e3,5.60,292.95
269.54,#ffe62d,5.60,299.82
272.11,#ffe62d,5.60,292.77
268.04,#ff84e2,5.60,291.29
277.99,#ff84e2,5.60,282.94
